City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
218,Sioux Lookout,90,CA,1611665339,76,50.1001,-91.917,-27.0,1.03
219,Husavik,75,IS,1611665339,80,66.0449,-17.3389,-5.0,1.54
220,Eydhafushi,100,MV,1611665340,74,5.1033,73.0708,27.1,6.61
221,Xapuri,75,BR,1611665341,100,-10.6517,-68.5044,24.0,2.06
222,Pevek,48,RU,1611665342,85,69.7008,170.3133,-35.38,1.41
223,Bengkulu,100,ID,1611665342,78,-3.8004,102.2655,25.52,1.87
224,João Pinheiro,86,BR,1611665343,75,-17.7425,-46.1725,24.65,3.92
225,eMkhomazi,100,ZA,1611665344,77,-30.2067,30.7978,29.44,4.38
226,Faanui,55,PF,1611665344,77,-16.4833,-151.75,27.09,8.36
227,Deputatsky,98,RU,1611665345,82,69.3,139.9,-43.16,0.71
228,Sulangan,100,PH,1611665345,82,11.1373,123.7228,27.11,8.07
229,Mwinilunga,100,ZM,1611665346,87,-11.7358,24.4293,21.07,2.22
230,Vila Velha,40,BR,1611665347,65,-20.3297,-40.2925,29.44,5.14
231,Hirado,75,JP,1611665347,87,33.3597,129.5531,12.0,6.17
232,Xunchang,14,CN,1611665348,71,28.4543,104.715,9.5,0.98
233,Colac,0,AU,1611665348,74,-38.3333,143.5833,11.67,2.24
234,Chambersburg,100,US,1611665349,87,39.9376,-77.6611,0.0,2.02
235,Priladozhskiy,100,RU,1611665350,98,59.85,31.4833,1.67,3.76
236,Luanda,40,AO,1611665350,66,-8.8368,13.2343,30.0,4.63
237,Havre-St-Pierre,90,CA,1611665351,69,50.2334,-63.5986,-1.0,5.66
238,Naifaru,100,MV,1611665351,73,5.4444,73.3657,27.1,6.73
239,Dunmore East,75,IE,1611665352,100,52.1514,-6.9861,9.44,2.57
240,Airai,100,TL,1611665353,100,-8.9266,125.4092,16.7,0.75
241,Bac Lieu,97,VN,1611665353,74,9.285,105.7244,25.27,5.86
242,Verkhoyansk,40,RU,1611665354,74,67.5447,133.385,-43.79,0.57
243,Unity,98,CA,1611665355,88,52.4501,-109.1682,-25.64,5.49
244,Acapulco de Juárez,3,MX,1611665294,73,16.8634,-99.8901,22.89,1.53
245,Kuytun,100,RU,1611665356,87,54.3419,101.5036,-28.84,1.15
246,Kassala,84,SD,1611665357,19,15.451,36.4,35.97,6.53
247,Lumeje,6,AO,1611665357,63,-11.55,20.7833,25.89,3.13
248,Vanimo,100,PG,1611665358,84,-2.6741,141.3028,26.55,2.55
249,Nome,90,US,1611665359,78,64.5011,-165.4064,-13.0,1.11
250,Barcelos,90,PT,1611665360,100,41.5388,-8.6151,14.0,2.57
251,San Patricio,90,US,1611665361,52,28.017,-97.5169,20.0,6.17
252,Santa Isabel Rio Negro,87,BR,1611665361,89,-0.4139,-65.0192,25.48,1.16
253,Marystown,96,CA,1611665362,89,47.1666,-55.1483,1.17,6.26
254,Coyhaique,75,CL,1611665308,76,-45.5752,-72.0662,9.0,2.57
255,Quatre Cocos,20,MU,1611665364,51,-20.2078,57.7625,31.0,3.6
256,Denpasar,75,ID,1611665206,94,-8.65,115.2167,26.0,6.17
257,Mananjary,13,MG,1611665365,67,-21.2167,48.3333,29.61,5.41
258,Kailua,90,US,1611665366,78,21.4022,-157.7394,24.0,6.17
259,Prykolotne,100,UA,1611665366,80,50.1604,37.3474,2.63,4.83
260,Prieska,93,ZA,1611665367,41,-29.6641,22.7474,30.06,6.54
261,Khulo,0,GE,1611665367,27,41.644,42.3129,18.0,2.57
262,Villeneuve-lès-Avignon,0,FR,1611665368,42,43.9684,4.7963,8.33,11.83
263,Roald,75,NO,1611665369,93,62.5833,6.1333,1.0,4.63
264,Strezhevoy,90,RU,1611665369,76,60.7333,77.5889,-29.0,6.0
265,Kumul,99,CN,1611665347,75,42.8,93.45,-6.12,1.7
266,Berlevåg,75,NO,1611665370,80,70.8578,29.0864,-3.0,15.43
267,Naze,11,JP,1611665371,87,28.3667,129.4833,15.46,5.61
268,Chhor,0,PK,1611665372,25,25.5167,69.7667,15.94,1.55
